;Action;Name;Features;Service;Source;VR Instance;Destination;User;Schedule;QoS;IPS Policy;Usage
114;Pass Client;Allow-Webservers-and-Loadbalancer-to-SAP-Server;;TCP  8000-8099;Ref: h-194.145.239.51-tha-as000325 , Ref: h-194.145.239.54-tha-as000326 , Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102, 194.145.239.51, 194.145.239.54;Source: default Destination: default;Ref: h-10.1.26.13-tha-GMSAPITS , Ref: h-10.1.26.15-tha-GMSAPITT , Ref: h-10.1.26.2-tha-SAP-P72 10.1.26.13, 10.1.26.15, 10.1.26.2;Any ;Always ;No-Shaping ;Default ;
115;Pass Client;Allow-as000771-to-SAP-Router-intern;;TCP  3299;h-194.145.239.78-tha-as000771 194.145.239.78;Source: default Destination: default;Ref: h-10.1.25.119-tha-saprouter , Ref: h-10.1.25.219-nimsrv-rz3 10.1.25.119, 10.1.25.219;Any ;Always ;No-Shaping ;Default ;
116;Pass Client;Allow-as000621-to-SAP;;Ref: sapgw , Ref: sapdp TCP  3200-3299, TCP  3300-3399;h-194.145.239.74-tha-as000621 194.145.239.74;Source: default Destination: default;Ref: h-10.1.2.177-tha-as000177 , Ref: h-10.1.2.20-tha-as000620 , Ref: h-10.1.2.4-tha-thademo01 , Ref: h-10.1.25.111-tha-sapsm1 , Ref: h-10.1.2.179-tha-as000179 , Ref: h-10.1.2.6-thaas000636 , Ref: h-10.1.2.16-tha-thademo03 10.1.2.16, 10.1.2.177, 10.1.2.179, 10.1.2.20, 10.1.2.4, 10.1.2.6, 10.1.25.111;Any ;Always ;No-Shaping ;Default ;
117;Pass Client;Allow-ftp-DMZ-outside;;Ref: FTP TCP  21;Ref: net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;Ref: World 0.0.0.0/0;Any ;Always ;No-Shaping ;Default ;
118;Pass Client;Allow-LDAP-from-DMZ-to-LDAP-Server;;Ref: LDAP , Ref: LDAP-SSL TCP  389, TCP  636, UDP  389;Ref: net-194-145-239-0-DMZ-Netz 194.145.239.0/25;Source: default Destination: default;g-LDAP-Server 10.1.4.209, 10.1.4.99, 10.1.6.161, 10.1.6.162, 10.9.0.40, 10.9.0.41;Any ;Always ;No-Shaping ;Default ;
119;Pass Original Source IP;Allow-Access-to-Mebedo;;TCP  8888;Ref: h-194.145.239.36-tha-as000306-2 , Ref: h-194.145.239.37-tha-as000313-2 194.145.239.36, 194.145.239.37;Source: default Destination: default;Ref: h-217.7.235.252-gm-mebedo 217.7.235.252;Any ;Always ;No-Shaping ;Default ;
120;Pass Original Source IP;Allow-Proxy-10443-to-aswo;;TCP  10443;Ref: h-194.145.239.36-tha-as000306-2 , Ref: h-194.145.239.37-tha-as000313-2 194.145.239.36, 194.145.239.37;Source: default Destination: default;Ref: h-217.89.79.6-gim-fw.aswo.com 217.89.79.6;Any ;Always ;No-Shaping ;Default ;
121;Pass Client;Allow-vsp-gossenmetrawatt-com-to-GMC-I-Server-Net;;Ref: HTTP , Ref: HTTPS , Ref: NTP , Ref: DNS , Ref: SMTP , Ref: LDAP , Ref: LDAP-SSL TCP  25, TCP  389, TCP  443, TCP  636, TCP  80, UDP  123, UDP  389, UDP  53;Ref: h-194.145.239.66-vsp.gossenmetrawatt.com 194.145.239.66;Source: default Destination: default;Ref: net-10-112-36-GMC-I-Server-TDC , Ref: net-10-112-1-GMC-I-Server2 10.112.1.0/24, 10.112.36.0/24;Any ;Always ;No-Shaping ;Default ;
122;Pass Client;Allow-vsp-gossenmetrawatt-com-to-MobileIron;;Ref: SSH , Ref: HTTPS TCP  22, TCP  443;Ref: h-194.145.239.66-vsp.gossenmetrawatt.com 194.145.239.66;Source: default Destination: default;Ref: h-69.90.213.47-support.mobileiron.com , Ref: h-72.51.53.5-6-appgw.mobileiron.com 69.90.213.47, 72.51.53.5, 72.51.53.6;Any ;Always ;No-Shaping ;Default ;
123;Pass Client;Allow-vsp-gossenmetrawatt-com-to-Apple;;Ref: Apple MDM TCP  2195-2196;Ref: h-194.145.239.66-vsp.gossenmetrawatt.com 194.145.239.66;Source: default Destination: default;Ref: net-17-0-0-0-Apple-Network 17.0.0.0/8;Any ;Always ;No-Shaping ;Default ;
124;Pass Client;Allow-sentry-gossenmetrawatt-com-to-MobileIron;;Ref: SSH , Ref: HTTPS TCP  22, TCP  443;Ref: h-194.145.239.8-sentry2.gossenmetrawatt.com 194.145.239.8;Source: default Destination: default;Ref: h-69.90.213.47-support.mobileiron.com 69.90.213.47;Any ;Always ;No-Shaping ;Default ;
125;Pass Client;Allow-sentry-gossenmetrawatt-com-to-GMC-I-Server-N;;Ref: HTTP , Ref: HTTPS , Ref: NTP , Ref: DNS , Ref: LDAP , Ref: LDAP-SSL , Ref: MS-DS , Ref: Kerberos TCP  389, TCP  443, TCP  445, TCP  636, TCP  80, UDP  123, UDP  389, UDP  53, UDP  88;Ref: h-194.145.239.8-sentry2.gossenmetrawatt.com 194.145.239.8;Source: default Destination: default;Ref: net-10-112-36-GMC-I-Server-TDC , Ref: net-10-112-1-GMC-I-Server2 10.112.1.0/24, 10.112.36.0/24;Any ;Always ;No-Shaping ;Default ;
126;Pass Client;Allow-databox-to-DBSVDANUE01;;Ref: Port-8080 TCP  8080;Ref: h-10.9.0.189-DBSVDANUE01 10.9.0.189;Source: default Destination: default;Ref: h-194.145.239.46-databox.datagroup-bs.de 194.145.239.46;Any ;Always ;No-Shaping ;Default ;
127;Pass Original Source IP;Allow-ESS-to-dbssapkgs;;Ref: Port-8080 , Ref: HTTP+S , Ref: Port-8080-Copy1 TCP  443, TCP  80, TCP  8080;Ref: h-172.16.250.160-dessapgpd 172.16.250.160;Source: default Destination: default;Ref: h-10.9.0.154-KGS-Archiv 10.9.0.154;Any ;Always ;No-Shaping ;Default ;
128;Pass Original Source IP;Allow-ESS-to-dbssappsm;;TCP  3300 , TCP  50000;Ref: h-172.16.250.160-dessapgpd , Ref: h-172.16.250.161-dessapgpp 172.16.250.160, 172.16.250.161;Source: default Destination: default;Ref: h-10.9.1.22-dbssappsm_Solutionmanager 10.9.1.22;Any ;Always ;No-Shaping ;Default ;
129;Pass Original Source IP;Allow-ESS-to-BlueCopy;;Ref: nfs , TCP  111 , UDP  111 , TCP  32000-65535 , UDP  32000-65535 TCP , TCP  111, TCP  2049, TCP  32000-65535, UDP  111, UDP  2049, UDP  32000-65535;Ref: h-172.16.250.160-dessapgpd , Ref: h-172.16.250.161-dessapgpp 172.16.250.160, 172.16.250.161;Source: default Destination: default;Ref: h-10.9.10.59-dbssapbsc01 10.9.10.59;Any ;Always ;No-Shaping ;Default ;
130;Pass Original Source IP;Allow-ESS-to-NAArchive01;;Ref: nfs , TCP  111 , UDP  111 , TCP  4045-4049 , UDP  4045-4049 TCP , TCP  111, TCP  2049, TCP  4045-4049, UDP  111, UDP  2049, UDP  4045-4049;Ref: h-172.16.250.160-dessapgpd , Ref: h-172.16.250.161-dessapgpp 172.16.250.160, 172.16.250.161;Source: default Destination: default;Ref: h-10.1.25.55-naarchive01 10.1.25.55;Any ;Always ;No-Shaping ;Default ;
131;Pass Original Source IP;Allow-ESS-to-Nimsrv;;Ref: nfs , TCP  111 , UDP  111 , TCP  32000-65535 , UDP  32000-65535 TCP , TCP  111, TCP  2049, TCP  32000-65535, UDP  111, UDP  2049, UDP  32000-65535;Ref: h-172.16.250.160-dessapgpd , Ref: h-172.16.250.161-dessapgpp 172.16.250.160, 172.16.250.161;Source: default Destination: default;Ref: h-10.1.25.119-tha-saprouter , Ref: h-10.1.25.219-nimsrv-rz3 10.1.25.119, 10.1.25.219;Any ;Always ;No-Shaping ;Default ;
132;Pass Original Source IP;Allow-ESS-to-BLK-FFM-S4Q;;Ref: Port-3200-sapdp00 , Ref: Port-3300-sapdp100 , Ref: Port-3600-sapms TCP  3200, TCP  3300, TCP  3600;Ref: h-172.16.250.160-dessapgpd 172.16.250.160;Source: default Destination: default;Ref: h-10.118.15.57-1028cus-S4Q-BLK , 10.118.15.14 10.118.15.14, 10.118.15.57;Any ;Always ;No-Shaping ;Default ;
133;Pass Original Source IP;Allow-ESS-to-SAP-Router;;TCP  3299;Ref: h-172.16.250.160-dessapgpd , Ref: h-172.16.250.161-dessapgpp 172.16.250.160, 172.16.250.161;Source: default Destination: default;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Any ;Always ;No-Shaping ;Default ;
134;Pass Original Source IP;Allow-ESS-to-RMC-RSCT-Server;;TCP  657 , UDP  657 , UDP  12347-12348;Ref: h-172.16.250.160-dessapgpd , Ref: h-172.16.250.161-dessapgpp 172.16.250.160, 172.16.250.161;Source: default Destination: default;Ref: h-10.1.25.11-hmc , Ref: h-10.1.25.21-hmc 10.1.25.11, 10.1.25.21;Any ;Always ;No-Shaping ;Default ;
135;Pass Original Source IP;Allow-ESS-to-DNS-Server;;Ref: DNS , Ref: Port-8080 TCP  8080, UDP  53;Ref: h-172.16.250.160-dessapgpd , Ref: h-172.16.250.161-dessapgpp 172.16.250.160, 172.16.250.161;Source: default Destination: default;Ref: h-10.9.0.10-consinto-DCNUE01 , Ref: h-10.9.0.16-consinto-DCNUE02 , Ref: h-10.9.0.154-KGS-Archiv 10.9.0.10, 10.9.0.154, 10.9.0.16;Any ;Always ;No-Shaping ;Default ;
136;Pass Original Source IP;Allow-ESS-to-NTP-Server;;Ref: NTP UDP  123;Ref: h-172.16.250.160-dessapgpd , Ref: h-172.16.250.161-dessapgpp 172.16.250.160, 172.16.250.161;Source: default Destination: default;Ref: h-194.145.239.51-tha-as000325 , Ref: h-194.145.239.54-tha-as000326 194.145.239.51, 194.145.239.54;Any ;Always ;No-Shaping ;Default ;
137;Pass Original Source IP;Allow-WDP-to-NAArchive01;;Ref: nfs , TCP  111 , UDP  111 , TCP  4045-4049 , UDP  4045-4049 TCP , TCP  111, TCP  2049, TCP  4045-4049, UDP  111, UDP  2049, UDP  4045-4049;Ref: h-172.16.250.162-dbssapwdp 172.16.250.162;Source: default Destination: default;Ref: h-10.1.25.55-naarchive01 10.1.25.55;Any ;Always ;No-Shaping ;Default ;
138;Pass Original Source IP;Allow-WDP-to-Nimsrv;;Ref: nfs , TCP  111 , UDP  111 , TCP  32000-65535 , UDP  32000-65535 TCP , TCP  111, TCP  2049, TCP  32000-65535, UDP  111, UDP  2049, UDP  32000-65535;Ref: h-172.16.250.162-dbssapwdp 172.16.250.162;Source: default Destination: default;Ref: h-10.1.25.119-tha-saprouter , Ref: h-10.1.25.219-nimsrv-rz3 10.1.25.119, 10.1.25.219;Any ;Always ;No-Shaping ;Default ;
139;Pass Original Source IP;Allow-WDP-to-SAP-Router;;TCP  3299;Ref: h-172.16.250.162-dbssapwdp 172.16.250.162;Source: default Destination: default;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Any ;Always ;No-Shaping ;Default ;
140;Pass Original Source IP;Allow-WDP-to-RMC-RSCT-Server;;TCP  657 , UDP  657 , UDP  12347-12348;Ref: h-172.16.250.162-dbssapwdp 172.16.250.162;Source: default Destination: default;Ref: h-10.1.25.11-hmc , Ref: h-10.1.25.21-hmc 10.1.25.11, 10.1.25.21;Any ;Always ;No-Shaping ;Default ;
141;Pass Original Source IP;Allow-WDP-to-DNS-Server;;Ref: DNS UDP  53;Ref: h-172.16.250.162-dbssapwdp 172.16.250.162;Source: default Destination: default;Ref: h-10.9.0.10-consinto-DCNUE01 , Ref: h-10.9.0.16-consinto-DCNUE02 10.9.0.10, 10.9.0.16;Any ;Always ;No-Shaping ;Default ;
142;Pass Original Source IP;Allow-WDP-to-NTP-Server;;Ref: NTP UDP  123;Ref: h-172.16.250.162-dbssapwdp 172.16.250.162;Source: default Destination: default;Ref: h-194.145.239.51-tha-as000325 , Ref: h-194.145.239.54-tha-as000326 194.145.239.51, 194.145.239.54;Any ;Always ;No-Shaping ;Default ;
143;Pass Original Source IP;Allow-SAP-Router-to-pumsape05;;TCP  54000;Ref: h-194.145.239.3-tha-as000339 194.145.239.3;Source: default Destination: default;10.113.27.170 ;Any ;Always ;No-Shaping ;Default ;
144;Pass Original Source IP;Allow-g-Consinto-Loadbalancer-to-norsapefx;;Ref: Port-8001 TCP  8001;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;Ref: h-10.113.17.175-norsapefx 10.113.17.175;Any ;Always ;No-Shaping ;Default ;
146;Pass Client;Allow-AS000305-to-MobileIron-Core;;TCP  12489 , Ref: ICMP ECHO , TCP  12489;Ref: h-10.1.1.7-tha-as000305 , 10.1.1.254 10.1.1.254, 10.1.1.7;Source: default Destination: default;Ref: h-172.16.250.211-24-MobileIron-Core-Appl 172.16.250.211;Any ;Always ;No-Shaping ;Default ;
147;Pass Client;Allow-Admins-to-MobileIron-DGBS;;Ref: ICMP , Ref: Port-8443 , Ref: HTTPS-8443 , Ref: HTTPS , Ref: SSH ECHO , TCP  22, TCP  443, TCP  8443;Ref: net-10-9-15-Consinto-Clients-Nbg 10.9.15.0/24;Source: default Destination: default;Ref: h-172.16.250.211-24-MobileIron-Core-Appl , Ref: h-172.16.250.212-Sentry-Appl 172.16.250.211, 172.16.250.212;Any ;Always ;No-Shaping ;Default ;
148;Pass Client;Allow-MobileIron-to-LDAP-AD;;Ref: LDAP , Ref: LDAP-SSL TCP  389, TCP  636, UDP  389;Ref: h-172.16.250.211-24-MobileIron-Core-Appl , Ref: h-172.16.250.212-Sentry-Appl 172.16.250.211, 172.16.250.212;Source: default Destination: default;Ref: h-10.9.0.10-consinto-DCNUE01 10.9.0.10;Any ;Always ;No-Shaping ;Default ;
149;Pass Client;Allow-MobileIron-to-DNS;;Ref: DNS , Ref: DNS-TCP TCP  53, UDP  53;Ref: h-172.16.250.211-24-MobileIron-Core-Appl , Ref: h-172.16.250.212-Sentry-Appl 172.16.250.211, 172.16.250.212;Source: default Destination: default;Ref: h-10.9.0.10-consinto-DCNUE01 , Ref: h-194.145.239.35-tha-as000302 10.9.0.10, 194.145.239.35;Any ;Always ;No-Shaping ;Default ;
150;Pass Client;Allow-MobileIron-to-SCEP-ServerPKI;;Ref: HTTP+S TCP  443, TCP  80;Ref: h-172.16.250.211-24-MobileIron-Core-Appl , Ref: h-172.16.250.212-Sentry-Appl 172.16.250.211, 172.16.250.212;Source: default Destination: default;Ref: h-10.9.0.125-DBSPKINUE01 10.9.0.125;Any ;Always ;No-Shaping ;Default ;
151;Pass Client;Allow-MobileIron-Sentry-to-consaphcp;;TCP  1433 , Ref: Port-1443 TCP  1433, TCP  1443;Ref: h-172.16.250.212-Sentry-Appl 172.16.250.212;Source: default Destination: default;Ref: h-10.1.25.60-consaphcp-shared-HR-SAP 10.1.25.60;Any ;Always ;No-Shaping ;Default ;
152;Pass Client;Allow-MobileIron-Sentry-to-CIFS;;Ref: Port-445 TCP  445;Ref: h-172.16.250.212-Sentry-Appl 172.16.250.212;Source: default Destination: default;10.9.0.19 ;Any ;Always ;No-Shaping ;Default ;
153;Pass Client;Allow-Internet-to-MobileIron;;TCP  9997 , Ref: HTTP+S , Ref: Port-8080 TCP  443, TCP  80, TCP  8080, TCP  9997;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Source: default Destination: default;Ref: h-194.145.239.104-www-ftp.consinto 194.145.239.104;Any ;Always ;No-Shaping ;Default ;
154;Pass Proxydyn;Allow-MobileIron-to-Internet;;Ref: HTTP+S , TCP  2195 , TCP  2196 TCP  2195, TCP  2196, TCP  443, TCP  80;Ref: h-172.16.250.212-Sentry-Appl , Ref: h-172.16.250.211-24-MobileIron-Core-Appl 172.16.250.211, 172.16.250.212;Source: default Destination: default;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Any ;Always ;No-Shaping ;Default ;
156;Pass Client;Allow-MG-to-RZ-FFM-TRI-Exchange;;Ref: SMTP TCP  25;Ref: h-194.145.239.61-tha-as000314 , Ref: h-194.145.239.62-tha-as000315 , Ref: h-194.145.239.25-smtp.thales-ims.de 194.145.239.25, 194.145.239.61, 194.145.239.62;Source: default Destination: default;Ref: h-10.60.70.14-TRIEHCCEN01 , Ref: h-10.60.70.15-TRIEHCCEN02 , Ref: h-10.60.70.16-TRIEHCCEN-c 10.60.70.14, 10.60.70.15, 10.60.70.16;Any ;Always ;No-Shaping ;Default ;
157;Pass Client;Allow-MG-to-RZ-FFM-IVG-Exchange;;Ref: SMTP TCP  25;Ref: h-194.145.239.61-tha-as000314 , Ref: h-194.145.239.62-tha-as000315 , Ref: h-194.145.239.25-smtp.thales-ims.de 194.145.239.25, 194.145.239.61, 194.145.239.62;Source: default Destination: default;Ref: h-10.60.68.14-IVGEHCCEN01 , Ref: h-10.60.68.15-IVGEHCCEN02 , Ref: h-10.60.68.16-IVGEHCCEN-c 10.60.68.14, 10.60.68.15, 10.60.68.16;Any ;Always ;No-Shaping ;Default ;
158;Pass Client;Allow-LB-to-RZ-FFM-TRI-Exchange;;Ref: HTTP+S TCP  443, TCP  80;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;Ref: h-10.60.70.14-TRIEHCCEN01 , Ref: h-10.60.70.15-TRIEHCCEN02 , Ref: h-10.60.70.16-TRIEHCCEN-c 10.60.70.14, 10.60.70.15, 10.60.70.16;Any ;Always ;No-Shaping ;Default ;
159;Pass Client;Allow-LB-to-RZ-FFM-IVG-Exchange;;Ref: HTTP+S TCP  443, TCP  80;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;Ref: h-10.60.68.14-IVGEHCCEN01 , Ref: h-10.60.68.15-IVGEHCCEN02 , Ref: h-10.60.68.16-IVGEHCCEN-c 10.60.68.14, 10.60.68.15, 10.60.68.16;Any ;Always ;No-Shaping ;Default ;
160;Pass Client;Allow-LB-to-RZ-FFM-TRI-SharePoint;;TCP  444 , TCP  446 , Ref: HTTP+S TCP  443, TCP  444, TCP  446, TCP  80;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;Ref: h-10.60.68.27-IVGSPSCEN01 10.60.68.27;Any ;Always ;No-Shaping ;Default ;
161;Pass Client;Allow-LB-to-RZ-FFM-IVG-SharePoint;;TCP  444 , TCP  446 , Ref: HTTP+S TCP  443, TCP  444, TCP  446, TCP  80;Ref: g-Consinto-Loadbalancer 194.145.239.100, 194.145.239.101, 194.145.239.102;Source: default Destination: default;Ref: h-10.60.68.27-IVGSPSCEN01 10.60.68.27;Any ;Always ;No-Shaping ;Default ;
163;Pass Client;Allow-Zabbix-server-to-dmz-dbsqecnue02;;Ref: Port-514 , Ref: SYSLOG , Ref: Port-8413 TCP  514, TCP  8413, UDP  514;Ref: h-10.9.10.11.DGBS-ZABBIX 10.9.10.11;Source: default Destination: Same as Source;Ref: h-172.16.250.249-dbsqecnue02 172.16.250.249;Any ;Always ;No-Shaping ;Default ;
164;Pass Client;Allow-qradar-SIEM-server-to-dmz;;Ref: SSH TCP  22;Ref: h-10.9.249.200-dbsqrcnue01 , Ref: h-10.9.249.201-dbsqrenue01 10.9.249.200, 10.9.249.201;Source: default Destination: Same as Source;Ref: h-172.16.250.249-dbsqecnue02 172.16.250.249;Any ;Always ;No-Shaping ;Default ;
165;Dst NAT 10.1.6.110:50000,Proxydyn;redirect-bedienungsanleitung-to-as000631;;Ref: HTTP TCP  80;World 0.0.0.0/0;Source: default Destination: default;194.145.239.117;Any ;Always ;No-Shaping ;Default ;
166;Pass Client;Allow-DMZ-194-145-239-251-252-bgp-router-to-syslog;;Ref: SYSLOG UDP  514;Ref: h-194.145.239.251-rdebgp1 , Ref: h-194.145.239.252-rdebgp2 194.145.239.251, 194.145.239.252;Source: default Destination: default;Ref: h-172.16.250.250-Syslog-Server in der DMZ 172.16.250.250;Any ;Always ;No-Shaping ;Default ;
167;Dst NAT 10.9.10.11,Proxydyn;Allow-HTTPS-World-to-portal-consinto-com-direct;;HTTPS TCP  443;Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Source: default Destination: default;194.145.239.13 ;Any ;Always ;No-Shaping ;Default ;
168;Pass Client;Allow-World-to-dbsftpnue01-sftp;;Ref: SSH TCP  22;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Source: default Destination: default;Ref: h-194.145.239.25-smtp.thales-ims.de 194.145.239.25;Any ;Always ;No-Shaping ;Default ;
169;Pass Client;Allow-HTTPS-World-to-databox;;Ref: HTTPS TCP  443;World 0.0.0.0/0;Source: default Destination: default;Ref: h-194.145.239.46-databox.datagroup-bs.de 194.145.239.46;Any ;Always ;No-Shaping ;Default ;
170;Pass Client;Allow-Port44300-World-to-Portal-vedes-de;;Ref: HTTP+S , Ref: Port-44300 TCP  443, TCP  44300, TCP  80;World 0.0.0.0/0;Source: default Destination: default;Ref: h-194.145.239.60-portal.vedes.de 194.145.239.60;Any ;Always ;No-Shaping ;Default ;
171;Pass Client;Allow-HTTP-HTTPS-World-to-Webservers-and-LB;;Ref: HTTP+S TCP  443, TCP  80;World 0.0.0.0/0;Source: default Destination: default;Ref: h-194.145.239.70-tha-intranet.thales-is.de , Ref: h-194.145.239.64-tha-thademo02 , Ref: h-194.145.239.9-tha-as000386.thales-ims.de , Ref: h-194.145.239.75-tha-as000770 , Ref: h-194.145.239.39-loadbalancer-39 , Ref: h-194.145.239.14-tha-thalesmail.de , Ref: h-194.145.239.16-tha-as000336 , Ref: h-194.145.239.82-OWA-IVG , Ref: h-194.145.239.41-con-as000325 , Ref: h-194.145.239.83-consinto-eanv01 , Ref: h-194.145.239.18-con-asnue11 , Ref: h-194.145.239.86-owa.grundig-gbs.com , Ref: h-194.145.239.88-owa.blaupunkt.com , Ref: h-194.145.239.110-www-ftp-Thales , Ref: h-194.145.239.111-exchange-GMC-I , Ref: h-194.145.239.113-OF-Netscaler , Ref: h-194.145.239.114-exchange-i-prosys , Ref: h-194.145.239.116-www.secop.com , Ref: h-194.145.239.118-exchange-IlimTimber , Ref: h-194.145.239.119-exchange-Secop , Ref: h-194.145.239.98-ilt-citrix , 194.145.239.105 , Ref: h-194.145.239.13-portal.consinto.com , Ref: h-194.145.239.31-Baramuni-Gateway , Ref: h-194.145.239.122-lync-LB-discover-EXTERN , Ref: h-194.145.239.68-bpwsnue01 , Ref: h-194.145.239.120-www.i-3s.de , Ref: h-194.145.239.20-consapddt , 194.145.239.6 , Ref: h-194.145.239.60-portal.vedes.de , Ref: h-194.145.239.103-OF-Netscaler-Qlik 194.145.239.103, 194.145.239.105, 194.145.239.110, 194.145.239.111, 194.145.239.113, 194.145.239.114, 194.145.239.116, 194.145.239.118, 194.145.239.119, 194.145.239.120, 194.145.239.122, 194.145.239.13, 194.145.239.14, 194.145.239.16, 194.145.239.18, 194.145.239.20, 194.145.239.31, 194.145.239.39, 194.145.239.41, 194.145.239.6, 194.145.239.60, 194.145.239.64, 194.145.239.68, 194.145.239.70, 194.145.239.75, 194.145.239.82, 194.145.239.83, 194.145.239.86, 194.145.239.88, 194.145.239.9, 194.145.239.98;Any ;Always ;No-Shaping ;Default ;
172;Pass Client;Allow-LB-OFF-Second-IP;;Ref: ICMP , Ref: HTTP+S , Ref: Port-8443 ECHO , TCP  443, TCP  80, TCP  8443;World 0.0.0.0/0;Source: default Destination: default;194.145.239.103;Any ;Always ;No-Shaping ;Default ;
173;Pass Original Source IP;Allow-Access-OfficeFirst-Gast-to-Exchange;;Ref: SMTP , Ref: HTTP+S TCP  25, TCP  443, TCP  80;10.180.39.0/24 ;Source: default Destination: default;Ref: h-194.145.239.113-OF-Netscaler 194.145.239.113;Any ;Always ;No-Shaping ;Default ;
174;Dst NAT 10.9.14.14,Client;Allow-Swyx-World-to-swyx-dg-bs;;TCP  16203 , TCP  57203 , TCP  9101;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Source: default Destination: default;Ref: h-194.145.239.116-www.secop.com 194.145.239.116;Any ;Always ;No-Shaping ;Default ;
175;Dst NAT 10.9.0.60:16203,Client;Allow-Swyx-World-to-swyx-dg-bs-TEST-Remoteconnecto;;TCP  16204;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Source: default Destination: default;Ref: h-194.145.239.116-www.secop.com 194.145.239.116;Any ;Always ;No-Shaping ;Default ;
176;Dst NAT 10.9.0.60:9101,Client;Allow-Swyx-World-to-swyx-dg-bs-TEST-Auth;;TCP  9102;Ref: Internet 0.0.0.0/0, NOT 10.0.0.0/8, NOT 172.16.0.0/12, NOT 192.168.0.0/16;Source: default Destination: default;Ref: h-194.145.239.116-www.secop.com 194.145.239.116;Any ;Always ;No-Shaping ;Default ;
177;Pass Client;Allow-HTTP-HTTPS-PrivateNetworks-to-Webserver-LNN-;;Ref: HTTP+S TCP  443, TCP  80;Ref: Private 192 , Ref: Private 172 , Ref: Private 10 10.0.0.0/8, 172.16.0.0/12, 192.168.0.0/16;Source: default Destination: default;Ref: h-194.145.239.79-sp.railit.de 194.145.239.79;Any ;Always ;No-Shaping ;Default ;
178;Pass Client;Allow-HTTPS-and-FTP-to-Balcke-WEB;;Ref: FTP , Ref: HTTP+S , Ref: SSH TCP  21, TCP  22, TCP  443, TCP  80;Ref: World 0.0.0.0/0;Source: default Destination: default;Ref: h-194.145.239.42-fwh.software.balcke-duerr.com 194.145.239.42;Any ;Always ;No-Shaping ;1 No Scan ;
179;Pass Client;Allow-HTTPS-to-www-ftp-gss-de;;Ref: HTTPS TCP  443;Ref: World 0.0.0.0/0;Source: default Destination: default;Ref: h-194.145.239.99-sebaco.datagroup-bs.de 194.145.239.99;Any ;Always ;No-Shaping ;1 No Scan ;
180;Pass Client;Allow-SFTP-to-THAWSNUE01;;Ref: SSH TCP  22;62.134.204.35 ;Source: default Destination: default;Ref: h-194.145.239.68-bpwsnue01 194.145.239.68;Any ;Always ;No-Shaping ;1 No Scan ;
181;Pass Client;Allow-HTTP-and-FTP-to-Virtuell-Server-Loadbalancer;;Ref: HTTP , Ref: FTP TCP  21, TCP  80;Ref: World 0.0.0.0/0;Source: default Destination: default;Ref: h-194.145.239.38-loadbalancer-38 , Ref: h-194.145.239.99-sebaco.datagroup-bs.de , Ref: h-194.145.239.104-www-ftp.consinto , Ref: h-194.145.239.105-www-ftp.blaupunkt , Ref: h-194.145.239.106-www-ftp.GMC-I , Ref: h-194.145.239.109-www-ftp.GBS , Ref: h-194.145.239.121-whistle-support.com-Secop , Ref: h-194.145.239.68-bpwsnue01 194.145.239.104, 194.145.239.105, 194.145.239.106, 194.145.239.109, 194.145.239.121, 194.145.239.38, 194.145.239.68, 194.145.239.99;Any ;Always ;No-Shaping ;1 No Scan ;
182;Pass Client;Allow-HTTP-HTTPS-and-Port-8080-World;;Ref: Port-8080 , Ref: HTTP+S TCP  443, TCP  80, TCP  8080;World 0.0.0.0/0;Source: default Destination: default;Ref: h-194.145.239.38-ftp.grundig.de , Ref: h-194.145.239.71-tha-as000763 194.145.239.38, 194.145.239.71;Any ;Always ;No-Shaping ;Default ;
